Round,Date,Team 1,Team 2,FT
2,1894,Rotherham Town,Lincoln City,05-Feb
2,1894,Walsall,Lincoln City,01-Feb
2,1894,Arsenal,Manchester City,04-Feb
2,1894,Burton Swifts,Manchester City,02-Jan
2,1894,Burton Wanderers,Manchester City,8-0
2,1894,Bury,Manchester City,04-Feb
2,1894,Crewe Alexandra,Manchester City,02-Mar
2,1894,Darwen,Manchester City,4-0
2,1894,Grimsby Town,Manchester City,02-Jan
2,1894,Leicester City,Manchester City,03-Jan
2,1894,Lincoln City,Manchester City,0-2
2,1894,Manchester United,Manchester City,04-Jan
2,1894,Newcastle United,Manchester City,05-Apr
2,1894,Notts County,Manchester City,01-Mar
2,1894,Port Vale,Manchester City,01-Feb
2,1894,Rotherham Town,Manchester City,03-Feb
2,1894,Walsall,Manchester City,01-Feb
2,1894,Arsenal,Manchester United,03-Feb
2,1894,Burton Swifts,Manchester United,01-Feb
2,1894,Burton Wanderers,Manchester United,1-0
2,1894,Bury,Manchester United,02-Jan
2,1894,Crewe Alexandra,Manchester United,0-2
2,1894,Darwen,Manchester United,01-Jan
2,1894,Grimsby Town,Manchester United,02-Jan
2,1894,Leicester City,Manchester United,02-Mar
2,1894,Lincoln City,Manchester United,3-0
2,1894,Manchester City,Manchester United,02-May
2,1894,Newcastle United,Manchester United,3-0
2,1894,Notts County,Manchester United,01-Jan
2,1894,Port Vale,Manchester United,02-May
2,1894,Rotherham Town,Manchester United,02-Jan
2,1894,Walsall,Manchester United,01-Feb
2,1894,Arsenal,Newcastle United,03-Feb
2,1894,Burton Swifts,Newcastle United,05-Mar
2,1894,Burton Wanderers,Newcastle United,9-0
2,1894,Bury,Newcastle United,04-Jan
2,1894,Crewe Alexandra,Newcastle United,02-Jan
2,1894,Darwen,Newcastle United,5-0
2,1894,Grimsby Town,Newcastle United,3-0
2,1894,Leicester City,Newcastle United,04-Apr
2,1894,Lincoln City,Newcastle United,03-Jan
2,1894,Manchester City,Newcastle United,4-0
2,1894,Manchester United,Newcastle United,05-Jan
2,1894,Notts County,Newcastle United,02-Jan
2,1894,Port Vale,Newcastle United,04-Apr
2,1894,Rotherham Town,Newcastle United,1-0
2,1894,Walsall,Newcastle United,02-Mar
2,1894,Arsenal,Notts County,02-Jan
2,1894,Burton Swifts,Notts County,02-Feb
2,1894,Burton Wanderers,Notts County,1-0
2,1894,Bury,Notts County,02-Jan
2,1894,Crewe Alexandra,Notts County,0-3
2,1894,Darwen,Notts County,02-Jan
2,1894,Grimsby Town,Notts County,0-1
2,1894,Leicester City,Notts County,05-Jan
2,1894,Lincoln City,Notts County,01-Mar
2,1894,Manchester City,Notts County,07-Jan
2,1894,Manchester United,Notts County,03-Mar
2,1894,Newcastle United,Notts County,02-Feb
2,1894,Port Vale,Notts County,0-3
2,1894,Rotherham Town,Notts County,01-Feb
2,1894,Walsall,Notts County,02-Jan
2,1894,Arsenal,Port Vale,7-0
2,1894,Burton Swifts,Port Vale,1-0
2,1894,Burton Wanderers,Port Vale,4-0
2,1894,Bury,Port Vale,4-0
2,1894,Crewe Alexandra,Port Vale,02-Feb
2,1894,Darwen,Port Vale,2-0
2,1894,Grimsby Town,Port Vale,04-Jan
2,1894,Leicester City,Port Vale,02-Jan
2,1894,Lincoln City,Port Vale,06-Jan
2,1894,Manchester City,Port Vale,04-Jan
2,1894,Manchester United,Port Vale,3-0
2,1894,Newcastle United,Port Vale,01-Feb
2,1894,Notts County,Port Vale,10-0
2,1894,Rotherham Town,Port Vale,02-Jan
2,1894,Walsall,Port Vale,2-0
2,1894,Arsenal,Rotherham Town,01-Jan
2,1894,Burton Swifts,Rotherham Town,2-0
2,1894,Burton Wanderers,Rotherham Town,4-0
2,1894,Bury,Rotherham Town,02-Jan
2,1894,Crewe Alexandra,Rotherham Town,02-Jan
2,1894,Darwen,Rotherham Town,04-Mar
2,1894,Grimsby Town,Rotherham Town,04-Jan
2,1894,Leicester City,Rotherham Town,04-Feb
2,1894,Lincoln City,Rotherham Town,2-0
2,1894,Manchester City,Rotherham Town,1-0
2,1894,Manchester United,Rotherham Town,03-Feb
2,1894,Newcastle United,Rotherham Town,05-Feb
2,1894,Notts County,Rotherham Town,04-Feb
2,1894,Port Vale,Rotherham Town,01-Jan
2,1894,Walsall,Rotherham Town,01-Feb
2,1894,Arsenal,Walsall,06-Jan
2,1894,Burton Swifts,Walsall,01-Feb
2,1894,Burton Wanderers,Walsall,7-0
2,1894,Bury,Walsall,04-Jan
2,1894,Crewe Alexandra,Walsall,02-Mar
2,1894,Darwen,Walsall,2-0
2,1894,Grimsby Town,Walsall,1-0
2,1894,Leicester City,Walsall,09-Jan
2,1894,Lincoln City,Walsall,1-0
2,1894,Manchester City,Walsall,06-Jan
2,1894,Manchester United,Walsall,9-0
2,1894,Newcastle United,Walsall,07-Feb
2,1894,Notts County,Walsall,5-0
2,1894,Port Vale,Walsall,1-0
2,1894,Rotherham Town,Walsall,06-Jan
1,1895,Birmingham City,Aston Villa,01-Apr
1,1895,Blackburn Rovers,Aston Villa,01-Jan
1,1895,Bolton Wanderers,Aston Villa,02-Feb
1,1895,Burnley,Aston Villa,03-Apr
1,1895,Bury,Aston Villa,05-Mar
1,1895,Derby County,Aston Villa,02-Feb
1,1895,Everton,Aston Villa,2-0
1,1895,Nottingham Forest,Aston Villa,0-2
1,1895,Preston North End,Aston Villa,04-Mar
1,1895,Sheffield United,Aston Villa,02-Jan
1,1895,Sheffield Wednesday,Aston Villa,01-Mar
1,1895,Stoke City,Aston Villa,01-Feb
1,1895,Sunderland,Aston Villa,02-Jan
1,1895,West Bromwich Albion,Aston Villa,01-Jan
1,1895,Wolverhampton Wanderers,Aston Villa,01-Feb
1,1895,Aston Villa,Birmingham City,07-Mar
1,1895,Blackburn Rovers,Birmingham City,02-Jan
1,1895,Bolton Wanderers,Birmingham City,04-Jan
1,1895,Burnley,Birmingham City,01-Jan
1,1895,Bury,Birmingham City,04-May
1,1895,Derby County,Birmingham City,8-0
1,1895,Everton,Birmingham City,3-0
1,1895,Nottingham Forest,Birmingham City,3-0
1,1895,Preston North End,Birmingham City,03-Feb
1,1895,Sheffield United,Birmingham City,2-0
1,1895,Sheffield Wednesday,Birmingham City,3-0
1,1895,Stoke City,Birmingham City,06-Jan
1,1895,Sunderland,Birmingham City,02-Jan
1,1895,West Bromwich Albion,Birmingham City,0-0
1,1895,Wolverhampton Wanderers,Birmingham City,07-Feb
1,1895,Aston Villa,Blackburn Rovers,03-Jan
1,1895,Birmingham City,Blackburn Rovers,02-Jan
1,1895,Bolton Wanderers,Blackburn Rovers,01-Jan
1,1895,Burnley,Blackburn Rovers,6-0
1,1895,Bury,Blackburn Rovers,2-0
1,1895,Derby County,Blackburn Rovers,0-0
1,1895,Everton,Blackburn Rovers,0-2
1,1895,Nottingham Forest,Blackburn Rovers,04-Feb
1,1895,Preston North End,Blackburn Rovers,01-Jan
1,1895,Sheffield United,Blackburn Rovers,01-Jan
1,1895,Sheffield Wednesday,Blackburn Rovers,3-0
1,1895,Stoke City,Blackburn Rovers,3-0
1,1895,Sunderland,Blackburn Rovers,02-Jan
1,1895,West Bromwich Albion,Blackburn Rovers,03-Feb
1,1895,Wolverhampton Wanderers,Blackburn Rovers,01-Feb
1,1895,Aston Villa,Bolton Wanderers,2-0
1,1895,Birmingham City,Bolton Wanderers,01-Feb
1,1895,Blackburn Rovers,Bolton Wanderers,03-Feb
1,1895,Burnley,Bolton Wanderers,01-Feb
1,1895,Bury,Bolton Wanderers,0-3
1,1895,Derby County,Bolton Wanderers,02-Jan
1,1895,Everton,Bolton Wanderers,01-Jan
1,1895,Nottingham Forest,Bolton Wanderers,0-0
1,1895,Preston North End,Bolton Wanderers,1-0
1,1895,Sheffield United,Bolton Wanderers,1-0
1,1895,Sheffield Wednesday,Bolton Wanderers,01-Jan
1,1895,Stoke City,Bolton Wanderers,2-0
1,1895,Sunderland,Bolton Wanderers,1-0
1,1895,West Bromwich Albion,Bolton Wanderers,02-Mar
1,1895,Wolverhampton Wanderers,Bolton Wanderers,5-0
1,1895,Aston Villa,Burnley,05-Jan
1,1895,Birmingham City,Burnley,1-0
1,1895,Blackburn Rovers,Burnley,1-0
1,1895,Bolton Wanderers,Burnley,1-0
1,1895,Bury,Burnley,03-Apr
1,1895,Derby County,Burnley,05-Jan
1,1895,Everton,Burnley,02-Jan
1,1895,Nottingham Forest,Burnley,02-Jan
1,1895,Preston North End,Burnley,01-Jan
1,1895,Sheffield United,Burnley,01-Jan
1,1895,Sheffield Wednesday,Burnley,1-0
1,1895,Stoke City,Burnley,02-Jan
1,1895,Sunderland,Burnley,03-Jan
1,1895,West Bromwich Albion,Burnley,0-2
1,1895,Wolverhampton Wanderers,Burnley,05-Jan
1,1895,Aston Villa,Bury,2-0
1,1895,Birmingham City,Bury,1-0
1,1895,Blackburn Rovers,Bury,0-2
1,1895,Bolton Wanderers,Bury,02-Apr
1,1895,Burnley,Bury,3-0
1,1895,Derby County,Bury,02-Jan
1,1895,Everton,Bury,03-Feb
1,1895,Nottingham Forest,Bury,5-0
1,1895,Preston North End,Bury,01-Jan
1,1895,Sheffield United,Bury,8-0
1,1895,Sheffield Wednesday,Bury,01-Mar
1,1895,Stoke City,Bury,0-2
1,1895,Sunderland,Bury,0-0
1,1895,West Bromwich Albion,Bury,01-Mar
1,1895,Wolverhampton Wanderers,Bury,1-0
1,1895,Aston Villa,Derby County,04-Jan
1,1895,Birmingham City,Derby County,01-Mar
1,1895,Blackburn Rovers,Derby County,0-2
1,1895,Bolton Wanderers,Derby County,02-Jan
1,1895,Burnley,Derby County,02-Feb
1,1895,Bury,Derby County,01-Feb
1,1895,Everton,Derby County,02-Feb
1,1895,Nottingham Forest,Derby County,02-May
1,1895,Preston North End,Derby County,1-0
1,1895,Sheffield United,Derby County,01-Jan
1,1895,Sheffield Wednesday,Derby County,0-4
1,1895,Stoke City,Derby County,02-Jan
1,1895,Sunderland,Derby County,02-Feb
1,1895,West Bromwich Albion,Derby County,0-0
1,1895,Wolverhampton Wanderers,Derby County,2-0
1,1895,Aston Villa,Everton,04-Mar
1,1895,Birmingham City,Everton,0-3
1,1895,Blackburn Rovers,Everton,02-Mar
1,1895,Bolton Wanderers,Everton,03-Jan
1,1895,Burnley,Everton,01-Jan
1,1895,Bury,Everton,01-Jan
1,1895,Derby County,Everton,02-Jan
1,1895,Nottingham Forest,Everton,02-Jan
1,1895,Preston North End,Everton,01-Jan
1,1895,Sheffield United,Everton,01-Feb
1,1895,Sheffield Wednesday,Everton,03-Jan
1,1895,Stoke City,Everton,01-Feb
1,1895,Sunderland,Everton,3-0
1,1895,West Bromwich Albion,Everton,0-3
1,1895,Wolverhampton Wanderers,Everton,02-Mar
1,1895,Aston Villa,Nottingham Forest,03-Jan
1,1895,Birmingham City,Nottingham Forest,1-0
1,1895,Blackburn Rovers,Nottingham Forest,2-0
1,1895,Bolton Wanderers,Nottingham Forest,02-Jan
1,1895,Burnley,Nottingham Forest,0-0
1,1895,Bury,Nottingham Forest,1-0
1,1895,Derby County,Nottingham Forest,4-0
1,1895,Everton,Nottingham Forest,06-Feb
1,1895,Preston North End,Nottingham Forest,6-0
1,1895,Sheffield United,Nottingham Forest,02-Jan
1,1895,Sheffield Wednesday,Nottingham Forest,3-0
1,1895,Stoke City,Nottingham Forest,1-0
1,1895,Sunderland,Nottingham Forest,01-Jan
1,1895,West Bromwich Albion,Nottingham Forest,03-Jan
1,1895,Wolverhampton Wanderers,Nottingham Forest,06-Jan
1,1895,Aston Villa,Preston North End,1-0
1,1895,Birmingham City,Preston North End,05-Feb
1,1895,Blackburn Rovers,Preston North End,3-0
1,1895,Bolton Wanderers,Preston North End,1-0
1,1895,Burnley,Preston North End,1-0
1,1895,Bury,Preston North End,01-Feb
1,1895,Derby County,Preston North End,1-0
1,1895,Everton,Preston North End,03-Feb
1,1895,Nottingham Forest,Preston North End,0-1
1,1895,Sheffield United,Preston North End,02-Jan
1,1895,Sheffield Wednesday,Preston North End,01-Jan
1,1895,Stoke City,Preston North End,4-0
1,1895,Sunderland,Preston North End,04-Jan
1,1895,West Bromwich Albion,Preston North End,01-Feb
1,1895,Wolverhampton Wanderers,Preston North End,02-Jan
1,1895,Aston Villa,Sheffield United,02-Feb
1,1895,Birmingham City,Sheffield United,02-Jan
1,1895,Blackburn Rovers,Sheffield United,1-0
1,1895,Bolton Wanderers,Sheffield United,04-Jan
1,1895,Burnley,Sheffield United,5-0
1,1895,Bury,Sheffield United,1-0
1,1895,Derby County,Sheffield United,0-2
1,1895,Everton,Sheffield United,5-0
1,1895,Nottingham Forest,Sheffield United,03-Jan
1,1895,Preston North End,Sheffield United,04-Mar
1,1895,Sheffield Wednesday,Sheffield United,1-0
1,1895,Stoke City,Sheffield United,4-0
1,1895,Sunderland,Sheffield United,01-Jan
1,1895,West Bromwich Albion,Sheffield United,1-0
1,1895,Wolverhampton Wanderers,Sheffield United,04-Jan
1,1895,Aston Villa,Sheffield Wednesday,02-Jan
1,1895,Birmingham City,Sheffield Wednesday,01-Jan
1,1895,Blackburn Rovers,Sheffield Wednesday,02-Jan
1,1895,Bolton Wanderers,Sheffield Wednesday,2-0
1,1895,Burnley,Sheffield Wednesday,2-0
1,1895,Bury,Sheffield Wednesday,06-Jan
1,1895,Derby County,Sheffield Wednesday,03-Jan
1,1895,Everton,Sheffield Wednesday,02-Feb
1,1895,Nottingham Forest,Sheffield Wednesday,1-0
1,1895,Preston North End,Sheffield Wednesday,0-1
1,1895,Sheffield United,Sheffield Wednesday,01-Jan
1,1895,Stoke City,Sheffield Wednesday,5-0
1,1895,Sunderland,Sheffield Wednesday,02-Jan
1,1895,West Bromwich Albion,Sheffield Wednesday,02-Mar
1,1895,Wolverhampton Wanderers,Sheffield Wednesday,4-0
1,1895,Aston Villa,Stoke City,05-Feb
1,1895,Birmingham City,Stoke City,01-Feb
1,1895,Blackburn Rovers,Stoke City,03-Jan
1,1895,Bolton Wanderers,Stoke City,03-Jan
1,1895,Burnley,Stoke City,2-0
1,1895,Bury,Stoke City,0-1
1,1895,Derby County,Stoke City,02-Jan
1,1895,Everton,Stoke City,07-Feb
1,1895,Nottingham Forest,Stoke City,4-0
1,1895,Preston North End,Stoke City,0-1
1,1895,Sheffield United,Stoke City,1-0
1,1895,Sheffield Wednesday,Stoke City,02-Jan
1,1895,Sunderland,Stoke City,04-Jan
1,1895,West Bromwich Albion,Stoke City,1-0
1,1895,Wolverhampton Wanderers,Stoke City,1-0
1,1895,Aston Villa,Sunderland,02-Jan
1,1895,Birmingham City,Sunderland,0-1
1,1895,Blackburn Rovers,Sunderland,02-Apr
1,1895,Bolton Wanderers,Sunderland,1-0
1,1895,Burnley,Sunderland,0-0
1,1895,Bury,Sunderland,01-Feb
1,1895,Derby County,Sunderland,2-0
1,1895,Everton,Sunderland,1-0
1,1895,Nottingham Forest,Sunderland,03-Jan
1,1895,Preston North End,Sunderland,04-Jan
1,1895,Sheffield United,Sunderland,01-Feb
1,1895,Sheffield Wednesday,Sunderland,3-0
1,1895,Stoke City,Sunderland,5-0
1,1895,West Bromwich Albion,Sunderland,01-Jan
1,1895,Wolverhampton Wanderers,Sunderland,01-Mar
1,1895,Aston Villa,West Bromwich Albion,1-0
1,1895,Birmingham City,West Bromwich Albion,02-Feb
1,1895,Blackburn Rovers,West Bromwich Albion,1-0
1,1895,Bolton Wanderers,West Bromwich Albion,02-Jan
1,1895,Burnley,West Bromwich Albion,3-0
1,1895,Bury,West Bromwich Albion,3-0
1,1895,Derby County,West Bromwich Albion,04-Jan
1,1895,Everton,West Bromwich Albion,01-Jan
1,1895,Nottingham Forest,West Bromwich Albion,2-0
1,1895,Preston North End,West Bromwich Albion,0-0
1,1895,Sheffield United,West Bromwich Albion,2-0
1,1895,Sheffield Wednesday,West Bromwich Albion,05-Mar
1,1895,Stoke City,West Bromwich Albion,03-Jan
1,1895,Sunderland,West Bromwich Albion,07-Jan
1,1895,Wolverhampton Wanderers,West Bromwich Albion,01-Feb
1,1895,Aston Villa,Wolverhampton Wanderers,04-Jan
1,1895,Birmingham City,Wolverhampton Wanderers,03-Feb
1,1895,Blackburn Rovers,Wolverhampton Wanderers,03-Jan
1,1895,Bolton Wanderers,Wolverhampton Wanderers,4-0
1,1895,Burnley,Wolverhampton Wanderers,03-Jan
1,1895,Bury,Wolverhampton Wanderers,3-0
1,1895,Derby County,Wolverhampton Wanderers,05-Feb
1,1895,Everton,Wolverhampton Wanderers,2-0
1,1895,Nottingham Forest,Wolverhampton Wanderers,03-Feb
1,1895,Preston North End,Wolverhampton Wanderers,04-Mar
1,1895,Sheffield United,Wolverhampton Wanderers,02-Jan
1,1895,Sheffield Wednesday,Wolverhampton Wanderers,03-Jan
1,1895,Stoke City,Wolverhampton Wanderers,04-Jan
1,1895,Sunderland,Wolverhampton Wanderers,02-Feb
1,1895,West Bromwich Albion,Wolverhampton Wanderers,02-Jan
2,1895,Burton Swifts,Arsenal,03-Feb
2,1895,Burton Wanderers,Arsenal,04-Jan
2,1895,Crewe Alexandra,Arsenal,0-1
2,1895,Darwen,Arsenal,01-Jan
2,1895,Grimsby Town,Arsenal,01-Jan
2,1895,Leicester City,Arsenal,1-0
2,1895,Lincoln City,Arsenal,01-Jan
2,1895,Liverpool,Arsenal,3-0
2,1895,Loughborough,Arsenal,02-Jan
2,1895,Manchester City,Arsenal,1-0
2,1895,Manchester United,Arsenal,05-Jan
2,1895,Newcastle United,Arsenal,03-Jan
2,1895,Notts County,Arsenal,03-Apr
2,1895,Port Vale,Arsenal,0-2
2,1895,Rotherham Town,Arsenal,3-0
2,1895,Arsenal,Burton Swifts,5-0
2,1895,Burton Wanderers,Burton Swifts,02-Jan
2,1895,Crewe Alexandra,Burton Swifts,01-Mar
2,1895,Darwen,Burton Swifts,3-0
2,1895,Grimsby Town,Burton Swifts,3-0
2,1895,Leicester City,Burton Swifts,02-Jan
2,1895,Lincoln City,Burton Swifts,01-Feb
2,1895,Liverpool,Burton Swifts,06-Jan
2,1895,Loughborough,Burton Swifts,02-Feb
2,1895,Manchester City,Burton Swifts,01-Jan
2,1895,Manchester United,Burton Swifts,5-0
2,1895,Newcastle United,Burton Swifts,5-0
2,1895,Notts County,Burton Swifts,5-0
2,1895,Port Vale,Burton Swifts,1-0
2,1895,Rotherham Town,Burton Swifts,01-Apr
2,1895,Arsenal,Burton Wanderers,3-0
2,1895,Burton Swifts,Burton Wanderers,0-2
2,1895,Crewe Alexandra,Burton Wanderers,0-1
2,1895,Darwen,Burton Wanderers,3-0
2,1895,Grimsby Town,Burton Wanderers,02-Jan
2,1895,Leicester City,Burton Wanderers,01-Mar
2,1895,Lincoln City,Burton Wanderers,01-Feb
2,1895,Liverpool,Burton Wanderers,04-Jan
2,1895,Loughborough,Burton Wanderers,01-Jan
2,1895,Manchester City,Burton Wanderers,01-Jan
2,1895,Manchester United,Burton Wanderers,01-Feb
2,1895,Newcastle United,Burton Wanderers,4-0
2,1895,Notts County,Burton Wanderers,01-Apr
2,1895,Port Vale,Burton Wanderers,02-Feb
2,1895,Rotherham Town,Burton Wanderers,01-Jun
2,1895,Arsenal,Crewe Alexandra,7-0
2,1895,Burton Swifts,Crewe Alexandra,01-Jan
2,1895,Burton Wanderers,Crewe Alexandra,4-0
2,1895,Darwen,Crewe Alexandra,06-Jan
2,1895,Grimsby Town,Crewe Alexandra,2-0
2,1895,Leicester City,Crewe Alexandra,04-Jan
2,1895,Lincoln City,Crewe Alexandra,06-Feb
2,1895,Liverpool,Crewe Alexandra,06-Jan
2,1895,Loughborough,Crewe Alexandra,04-Jan
2,1895,Manchester City,Crewe Alexandra,4-0
2,1895,Manchester United,Crewe Alexandra,5-0
2,1895,Newcastle United,Crewe Alexandra,6-0
2,1895,Notts County,Crewe Alexandra,6-0
2,1895,Port Vale,Crewe Alexandra,02-Jan
2,1895,Rotherham Town,Crewe Alexandra,4-0
2,1895,Arsenal,Darwen,01-Mar
2,1895,Burton Swifts,Darwen,01-Feb
2,1895,Burton Wanderers,Darwen,3-0
2,1895,Crewe Alexandra,Darwen,03-Jan
2,1895,Grimsby Town,Darwen,5-0
2,1895,Leicester City,Darwen,02-Mar
2,1895,Lincoln City,Darwen,1-0
2,1895,Liverpool,Darwen,0-0
2,1895,Loughborough,Darwen,04-Jan
2,1895,Manchester City,Darwen,04-Jan
2,1895,Manchester United,Darwen,4-0
2,1895,Newcastle United,Darwen,07-Feb
2,1895,Notts County,Darwen,04-Jan
2,1895,Port Vale,Darwen,03-Mar
2,1895,Rotherham Town,Darwen,3-0
2,1895,Arsenal,Grimsby Town,03-Jan
2,1895,Burton Swifts,Grimsby Town,02-Jan
2,1895,Burton Wanderers,Grimsby Town,02-Jan
2,1895,Crewe Alexandra,Grimsby Town,0-1
2,1895,Darwen,Grimsby Town,03-Mar
2,1895,Leicester City,Grimsby Town,01-Feb
2,1895,Lincoln City,Grimsby Town,02-May
2,1895,Liverpool,Grimsby Town,03-Jan
2,1895,Loughborough,Grimsby Town,0-1
2,1895,Manchester City,Grimsby Town,02-Jan
2,1895,Manchester United,Grimsby Town,03-Feb
2,1895,Newcastle United,Grimsby Town,01-May
2,1895,Notts County,Grimsby Town,05-Mar
2,1895,Port Vale,Grimsby Town,01-Apr
2,1895,Rotherham Town,Grimsby Town,1-0
2,1895,Arsenal,Leicester City,01-Jan
2,1895,Burton Swifts,Leicester City,0-2
2,1895,Burton Wanderers,Leicester City,0-0
2,1895,Crewe Alexandra,Leicester City,01-Jan
2,1895,Darwen,Leicester City,04-Jan
2,1895,Grimsby Town,Leicester City,07-Jan
2,1895,Lincoln City,Leicester City,02-Mar
2,1895,Liverpool,Leicester City,03-Jan
2,1895,Loughborough,Leicester City,01-Apr
2,1895,Manchester City,Leicester City,2-0
2,1895,Manchester United,Leicester City,2-0
2,1895,Newcastle United,Leicester City,1-0
2,1895,Notts County,Leicester City,01-Feb
2,1895,Port Vale,Leicester City,01-Jan
2,1895,Rotherham Town,Leicester City,2-0
2,1895,Arsenal,Lincoln City,4-0
2,1895,Burton Swifts,Lincoln City,4-0
2,1895,Burton Wanderers,Lincoln City,04-Jan
2,1895,Crewe Alexandra,Lincoln City,02-Feb
2,1895,Darwen,Lincoln City,5-0
2,1895,Grimsby Town,Lincoln City,04-Feb
2,1895,Leicester City,Lincoln City,01-Mar
2,1895,Liverpool,Lincoln City,06-Jan
2,1895,Loughborough,Lincoln City,3-0
2,1895,Manchester City,Lincoln City,4-0
2,1895,Manchester United,Lincoln City,05-May
2,1895,Newcastle United,Lincoln City,5-0
2,1895,Notts County,Lincoln City,2-0
2,1895,Port Vale,Lincoln City,0-1
2,1895,Rotherham Town,Lincoln City,02-Feb
2,1895,Arsenal,Liverpool,0-2
2,1895,Burton Swifts,Liverpool,0-7
2,1895,Burton Wanderers,Liverpool,02-Jan
2,1895,Crewe Alexandra,Liverpool,0-7
2,1895,Darwen,Liverpool,0-4
2,1895,Grimsby Town,Liverpool,1-0
2,1895,Leicester City,Liverpool,2-0
2,1895,Lincoln City,Liverpool,0-1
2,1895,Loughborough,Liverpool,02-Apr
2,1895,Manchester City,Liverpool,01-Jan
2,1895,Manchester United,Liverpool,05-Feb
2,1895,Newcastle United,Liverpool,1-0
2,1895,Notts County,Liverpool,02-Mar
2,1895,Port Vale,Liverpool,05-Apr
2,1895,Rotherham Town,Liverpool,0-5
2,1895,Arsenal,Loughborough,6-0
2,1895,Burton Swifts,Loughborough,01-Feb
2,1895,Burton Wanderers,Loughborough,4-0
2,1895,Crewe Alexandra,Loughborough,01-Feb
2,1895,Darwen,Loughborough,01-Jan
2,1895,Grimsby Town,Loughborough,2-0
2,1895,Leicester City,Loughborough,5-0
2,1895,Lincoln City,Loughborough,04-Jan
2,1895,Liverpool,Loughborough,1-0
2,1895,Manchester City,Loughborough,05-Jan
2,1895,Manchester United,Loughborough,2-0
2,1895,Newcastle United,Loughborough,3-0
2,1895,Notts County,Loughborough,2-0
2,1895,Port Vale,Loughborough,01-Jan
2,1895,Rotherham Town,Loughborough,4-0
2,1895,Arsenal,Manchester City,0-1
2,1895,Burton Swifts,Manchester City,01-Apr
2,1895,Burton Wanderers,Manchester City,04-Jan
2,1895,Crewe Alexandra,Manchester City,0-2
2,1895,Darwen,Manchester City,02-Mar
2,1895,Grimsby Town,Manchester City,5-0
2,1895,Leicester City,Manchester City,01-Feb
2,1895,Lincoln City,Manchester City,01-Feb
2,1895,Liverpool,Manchester City,03-Jan
2,1895,Loughborough,Manchester City,02-Apr
2,1895,Manchester United,Manchester City,01-Jan
2,1895,Newcastle United,Manchester City,04-Jan
2,1895,Notts County,Manchester City,3-0
2,1895,Port Vale,Manchester City,0-1
2,1895,Rotherham Town,Manchester City,02-Mar
2,1895,Arsenal,Manchester United,02-Jan
2,1895,Burton Swifts,Manchester United,04-Jan
2,1895,Burton Wanderers,Manchester United,05-Jan
2,1895,Crewe Alexandra,Manchester United,0-2
2,1895,Darwen,Manchester United,3-0
2,1895,Grimsby Town,Manchester United,04-Feb
2,1895,Leicester City,Manchester United,3-0
2,1895,Lincoln City,Manchester United,2-0
2,1895,Liverpool,Manchester United,07-Jan
2,1895,Loughborough,Manchester United,03-Mar
2,1895,Manchester City,Manchester United,02-Jan
2,1895,Newcastle United,Manchester United,02-Jan
2,1895,Notts County,Manchester United,0-2
2,1895,Port Vale,Manchester United,3-0
2,1895,Rotherham Town,Manchester United,02-Mar
2,1895,Arsenal,Newcastle United,02-Jan
2,1895,Burton Swifts,Newcastle United,03-Jan
2,1895,Burton Wanderers,Newcastle United,0-3
2,1895,Crewe Alexandra,Newcastle United,3-0
2,1895,Darwen,Newcastle United,04-Apr
2,1895,Grimsby Town,Newcastle United,02-Jan
2,1895,Leicester City,Newcastle United,2-0
2,1895,Lincoln City,Newcastle United,4-0
2,1895,Liverpool,Newcastle United,05-Jan
2,1895,Loughborough,Newcastle United,1-0
2,1895,Manchester City,Newcastle United,05-Feb
